,name,id,sj_0,sj_1,in_offset,out_offset,dx,roughness,shape,g1,g2,g3,g4,Q_0,h_0,ctrl,A_s,A_c,C,dx_uk,dx_dk,C_uk,C_dk,friction_method
0,119,0,0,1,0,0,173.73600000000002,140.0,force_main,0.30479999999999996,1e-05,0,0,0,0.30479999999999996,False,0.001,0,0,0,0,0,0,hw
1,121,1,1,2,0,0,73.152,140.0,force_main,0.15239999999999998,1e-05,0,0,0,0.15239999999999998,False,0.001,0,0,0,0,0,0,hw
2,122,2,1,3,0,0,134.112,140.0,force_main,0.30479999999999996,1e-05,0,0,0,0.30479999999999996,False,0.001,0,0,0,0,0,0,hw
3,123,3,3,4,0,0,67.056,140.0,force_main,0.15239999999999998,1e-05,0,0,0,0.15239999999999998,False,0.001,0,0,0,0,0,0,hw
4,124,4,3,5,0,0,91.44,140.0,force_main,0.30479999999999996,1e-05,0,0,0,0.30479999999999996,False,0.001,0,0,0,0,0,0,hw
5,125,5,8,24,0,0,7.62,140.0,force_main,0.15239999999999998,1e-05,0,0,0,0.15239999999999998,False,0.001,0,0,0,0,0,0,hw
6,126,6,8,25,0,0,7.62,140.0,force_main,0.15239999999999998,1e-05,0,0,0,0.15239999999999998,False,0.001,0,0,0,0,0,0,hw
7,127,7,8,27,0,0,7.62,140.0,force_main,0.15239999999999998,1e-05,0,0,0,0.15239999999999998,False,0.001,0,0,0,0,0,0,hw
8,130,8,19,16,0,0,57.912000000000006,140.0,force_main,0.15239999999999998,1e-05,0,0,0,0.15239999999999998,False,0.001,0,0,0,0,0,0,hw
9,137,9,9,10,0,0,94.488,140.0,force_main,0.15239999999999998,1e-05,0,0,0,0.15239999999999998,False,0.001,0,0,0,0,0,0,hw
10,138,10,9,11,0,0,173.73600000000002,140.0,force_main,0.30479999999999996,1e-05,0,0,0,0.30479999999999996,False,0.001,0,0,0,0,0,0,hw
11,139,11,11,12,0,0,137.16,140.0,force_main,0.2032,1e-05,0,0,0,0.2032,False,0.001,0,0,0,0,0,0,hw
12,141,12,11,13,0,0,57.912000000000006,140.0,force_main,0.30479999999999996,1e-05,0,0,0,0.30479999999999996,False,0.001,0,0,0,0,0,0,hw
13,142,13,5,13,0,0,118.872,140.0,force_main,0.30479999999999996,1e-05,0,0,0,0.30479999999999996,False,0.001,0,0,0,0,0,0,hw
14,143,14,13,14,0,0,79.248,140.0,force_main,0.30479999999999996,1e-05,0,0,0,0.30479999999999996,False,0.001,0,0,0,0,0,0,hw
15,144,15,14,15,0,0,70.104,140.0,force_main,0.15239999999999998,1e-05,0,0,0,0.15239999999999998,False,0.001,0,0,0,0,0,0,hw
16,145,16,14,17,0,0,97.536,140.0,force_main,0.30479999999999996,1e-05,0,0,0,0.30479999999999996,False,0.001,0,0,0,0,0,0,hw
17,146,17,17,18,0,0,88.39200000000001,140.0,force_main,0.2032,1e-05,0,0,0,0.2032,False,0.001,0,0,0,0,0,0,hw
18,147,18,17,19,0,0,45.72,140.0,force_main,0.30479999999999996,1e-05,0,0,0,0.30479999999999996,False,0.001,0,0,0,0,0,0,hw
19,148,19,19,20,0,0,76.2,140.0,force_main,0.30479999999999996,1e-05,0,0,0,0.30479999999999996,False,0.001,0,0,0,0,0,0,hw
20,149,20,20,21,0,0,42.672000000000004,140.0,force_main,0.30479999999999996,1e-05,0,0,0,0.30479999999999996,False,0.001,0,0,0,0,0,0,hw
21,150,21,26,8,0,0,173.73600000000002,140.0,force_main,0.30479999999999996,1e-05,0,0,0,0.30479999999999996,False,0.001,0,0,0,0,0,0,hw
22,151,22,6,7,0,0,487.68,140.0,force_main,0.30479999999999996,1e-05,0,0,0,0.30479999999999996,False,0.001,0,0,0,0,0,0,hw
23,1511,23,7,21,0,0,57.912000000000006,140.0,force_main,0.30479999999999996,1e-05,0,0,0,0.30479999999999996,False,0.001,0,0,0,0,0,0,hw
24,152,24,24,6,0,0,33.8328,140.0,force_main,0.15239999999999998,1e-05,0,0,0,0.15239999999999998,False,0.001,0,0,0,0,0,0,hw
25,153,25,25,6,0,0,33.8328,140.0,force_main,0.15239999999999998,1e-05,0,0,0,0.15239999999999998,False,0.001,0,0,0,0,0,0,hw
