,name,z_inv,max_depth,h_0,map_x,map_y,bc,storage,a,b,c,id
0,80408,37.97808,4.08432,0.0,10115.79,7536.84,False,functional,0.0,0.0,1.16,0
1,80608,36.05784,5.09016,0.0,7463.16,7536.84,False,functional,0.0,0.0,1.16,1
2,81009,39.075359999999996,2.68224,0.0,9989.47,2421.05,False,functional,0.0,0.0,1.16,2
3,81309,35.814,3.81,0.0,7568.42,2421.05,False,functional,0.0,0.0,1.16,3
4,82309,34.22904,13.014960000000002,0.0,4957.89,7536.84,False,functional,0.0,0.0,1.16,4
5,10309,30.96768,2.86512,0.0,389.47,2421.05,False,functional,0.0,0.0,1.16,5
6,15009,33.9852,4.1148,0.0,4978.95,2421.05,False,functional,0.0,0.0,1.16,6
7,16009,31.0896,5.486400000000001,0.0,2494.74,2421.05,False,functional,0.0,0.0,1.16,7
8,16109,31.33344,6.76656,0.0,2494.74,7536.84,False,functional,0.0,0.0,1.16,8
9,10208,27.40152,inf,0.0,-578.95,4947.37,True,functional,0.0,0.0,1.16,9
10,82309w,34.8996,13.014960000000002,0.0,4957.89,7536.84,False,functional,0.0,0.0,1.16,10
