,name,id,sj_0,sj_1,z_w,y_max,Cr,Ct,L,s
0,w0,0,0,9,4.08432,10.0,1.84,0.0,3.8179824400665647,0.0
1,w1,1,1,9,5.09016,10.0,1.84,0.0,3.8179824400665647,0.0
2,w2,2,2,9,2.68224,10.0,1.84,0.0,3.8179824400665647,0.0
3,w3,3,3,9,3.81,10.0,1.84,0.0,3.8179824400665647,0.0
4,w4,4,4,9,13.014960000000002,10.0,1.84,0.0,3.8179824400665647,0.0
5,w5,5,5,9,2.86512,10.0,1.84,0.0,3.8179824400665647,0.0
6,w6,6,6,9,4.1148,10.0,1.84,0.0,3.8179824400665647,0.0
7,w7,7,7,9,5.486400000000001,10.0,1.84,0.0,3.8179824400665647,0.0
8,w8,8,8,9,6.76656,10.0,1.84,0.0,3.8179824400665647,0.0
9,offset,9,10,4,0.0,10.0,1.84,0.0,2.7432,0.0
