,name,z_inv,max_depth,h_0,map_x,map_y,bc,storage,a,b,c,id
0,01e43y44,16.08,2.66,0.0,5993.9,6372.43,False,functional,0.0,0.0,1.16,0
1,01y33,8.23,5.29,0.0,5987.12,7630.1,False,functional,0.0,0.0,1.16,1
2,01y40,14.89,2.75,0.0,5980.42,6791.85,False,functional,0.0,0.0,1.16,2
3,01y43N,16.88,1.57,0.0,5980.41,6436.46,False,functional,0.0,0.0,1.16,3
4,01y43S,16.34,2.11,0.0,5993.5,6426.28,False,functional,0.0,0.0,1.16,4
5,01y44,15.58,3.5,0.0,5992.04,6317.18,False,functional,0.0,0.0,1.16,5
6,01y46,12.41,5.35,0.0,5990.59,6085.89,False,functional,0.0,0.0,1.16,6
7,02y33,5.67,4.43,0.0,5871.78,7628.76,False,functional,0.0,0.0,1.16,7
8,02y34,8.1,4.63,0.0,5871.78,7508.05,False,functional,0.0,0.0,1.16,8
9,02y35,10.06,4.73,0.0,5871.78,7394.05,False,functional,0.0,0.0,1.16,9
10,02y39,12.47,5.31,0.0,5870.44,6907.19,False,functional,0.0,0.0,1.16,10
11,02y40,14.17,4.03,0.0,5869.1,6794.53,False,functional,0.0,0.0,1.16,11
12,02y43,16.21,2.44,0.0,5872.76,6436.46,False,functional,0.0,0.0,1.16,12
13,02y44,11.12,7.2,0.0,5866.94,6315.73,False,functional,0.0,0.0,1.16,13
14,02y46,11.89,6.21,0.0,5868.4,6082.98,False,functional,0.0,0.0,1.16,14
15,02y47N,12.97,5.53,0.0,5869.85,5986.97,False,functional,0.0,0.0,1.16,15
16,02y47S,17.16,1.34,0.0,5858.21,5982.61,False,functional,0.0,0.0,1.16,16
17,02y48,17.68,1.15,0.0,5869.85,5885.14,False,functional,0.0,0.0,1.16,17
18,02y532,6.59,3.2,0.0,5883.85,7804.45,False,functional,0.0,0.0,1.16,18
19,03y32,5.06,2.98,0.0,5751.07,7744.1,False,functional,0.0,0.0,1.16,19
20,03y33,5.58,4.9,0.0,5752.41,7628.76,False,functional,0.0,0.0,1.16,20
21,03y37,8.95,6.43,0.0,5751.07,7156.65,False,functional,0.0,0.0,1.16,21
22,03y38,9.97,5.7,0.0,5752.41,7033.26,False,functional,0.0,0.0,1.16,22
23,03y39,11.18,5.95,0.0,5752.41,6909.87,False,functional,0.0,0.0,1.16,23
24,03y43,15.46,3.44,0.0,5753.48,6436.46,False,functional,0.0,0.0,1.16,24
