,name,sj_0,sj_1,dx,roughness,in_offset,out_offset,Q_0,shape,g1,g2,g3,g4,A_s,A_c,C,ctrl,C_uk,C_dk,h_0,dx_uk,dx_dk
0,1,40,59,290.0,0.013,0.0,0.0,0.0,circular,4.95,0.01,0,0,1e-05,0.0,0.0,False,0.0,0.0,0.001,0.0,0.0
1,2,41,40,135.0,0.013,0.0,0.0,0.0,circular,1.9,0.01,0,0,1e-05,0.0,0.0,False,0.0,0.0,0.001,0.0,0.0
2,3,33,40,150.0,0.013,0.0,0.6,0.0,circular,1.2,0.01,0,0,1e-05,0.0,0.0,False,0.0,0.0,0.001,0.0,0.0
3,4,19,33,125.0,0.013,0.0,0.0,0.0,circular,1.2,0.01,0,0,1e-05,0.0,0.0,False,0.0,0.0,0.001,0.0,0.0
4,5,18,19,160.0,0.013,0.0,0.6,0.0,circular,0.6,0.01,0,0,1e-05,0.0,0.0,False,0.0,0.0,0.001,0.0,0.0
5,6,20,19,130.0,0.013,0.0,0.0,0.0,circular,1.2,0.01,0,0,1e-05,0.0,0.0,False,0.0,0.0,0.001,0.0,0.0
6,7,7,20,145.0,0.013,0.0,0.0,0.0,circular,1.2,0.01,0,0,1e-05,0.0,0.0,False,0.0,0.0,0.001,0.0,0.0
7,8,1,7,140.0,0.013,0.0,0.6,0.0,circular,0.6,0.01,0,0,1e-05,0.0,0.0,False,0.0,0.0,0.001,0.0,0.0
8,9,8,7,140.0,0.013,0.0,0.6,0.0,circular,0.6,0.01,0,0,1e-05,0.0,0.0,False,0.0,0.0,0.001,0.0,0.0
9,10,9,8,140.0,0.013,0.0,0.0,0.0,circular,0.6,0.01,0,0,1e-05,0.0,0.0,False,0.0,0.0,0.001,0.0,0.0
10,11,42,41,140.0,0.013,0.0,0.0,0.0,circular,1.9,0.01,0,0,1e-05,0.0,0.0,False,0.0,0.0,0.001,0.0,0.0
11,12,43,42,140.0,0.013,0.0,0.0,0.0,circular,1.9,0.01,0,0,1e-05,0.0,0.0,False,0.0,0.0,0.001,0.0,0.0
12,13,44,43,140.0,0.013,0.0,0.0,0.0,circular,1.9,0.01,0,0,1e-05,0.0,0.0,False,0.0,0.0,0.001,0.0,0.0
13,14,34,44,140.0,0.013,0.0,0.62,0.0,circular,1.2,0.01,0,0,1e-05,0.0,0.0,False,0.0,0.0,0.001,0.0,0.0
14,15,35,34,140.0,0.013,0.0,0.0,0.0,circular,1.2,0.01,0,0,1e-05,0.0,0.0,False,0.0,0.0,0.001,0.0,0.0
15,16,21,35,140.0,0.013,0.0,0.0,0.0,circular,1.2,0.01,0,0,1e-05,0.0,0.0,False,0.0,0.0,0.001,0.0,0.0
16,17,22,21,140.0,0.013,0.0,0.0,0.0,circular,1.2,0.01,0,0,1e-05,0.0,0.0,False,0.0,0.0,0.001,0.0,0.0
17,18,23,22,145.0,0.013,0.0,0.0,0.0,circular,1.2,0.01,0,0,1e-05,0.0,0.0,False,0.0,0.0,0.001,0.0,0.0
18,19,10,23,140.0,0.013,0.0,0.0,0.0,circular,1.2,0.01,0,0,1e-05,0.0,0.0,False,0.0,0.0,0.001,0.0,0.0
19,20,45,44,135.0,0.013,0.0,0.2,0.0,circular,1.7,0.01,0,0,1e-05,0.0,0.0,False,0.0,0.0,0.001,0.0,0.0
20,21,46,45,145.0,0.013,0.0,0.0,0.0,circular,1.7,0.01,0,0,1e-05,0.0,0.0,False,0.0,0.0,0.001,0.0,0.0
21,22,47,46,145.0,0.013,0.0,0.0,0.0,circular,1.7,0.01,0,0,1e-05,0.0,0.0,False,0.0,0.0,0.001,0.0,0.0
22,23,48,47,275.0,0.013,0.0,0.0,0.0,circular,1.7,0.01,0,0,1e-05,0.0,0.0,False,0.0,0.0,0.001,0.0,0.0
23,24,49,48,145.0,0.013,0.0,0.1,0.0,circular,1.6,0.01,0,0,1e-05,0.0,0.0,False,0.0,0.0,0.001,0.0,0.0
24,25,11,10,140.0,0.013,0.0,0.6,0.0,circular,0.6,0.01,0,0,1e-05,0.0,0.0,False,0.0,0.0,0.001,0.0,0.0
25,26,2,11,120.0,0.013,0.0,0.0,0.0,circular,0.6,0.01,0,0,1e-05,0.0,0.0,False,0.0,0.0,0.001,0.0,0.0
26,27,50,49,135.0,0.013,0.0,0.0,0.0,circular,1.6,0.01,0,0,1e-05,0.0,0.0,False,0.0,0.0,0.001,0.0,0.0
27,28,51,50,135.0,0.013,0.0,0.0,0.0,circular,1.6,0.01,0,0,1e-05,0.0,0.0,False,0.0,0.0,0.001,0.0,0.0
28,29,3,12,125.0,0.013,0.0,0.05,0.0,circular,0.4,0.01,0,0,1e-05,0.0,0.0,False,0.0,0.0,0.001,0.0,0.0
29,30,12,24,140.0,0.013,0.0,0.05,0.0,circular,0.45,0.01,0,0,1e-05,0.0,0.0,False,0.0,0.0,0.001,0.0,0.0
30,31,24,25,145.0,0.013,0.0,0.5,0.0,circular,0.5,0.01,0,0,1e-05,0.0,0.0,False,0.0,0.0,0.001,0.0,0.0
31,34,5,13,140.0,0.013,0.0,3.9,0.0,circular,0.8,0.01,0,0,1e-05,0.0,0.0,False,0.0,0.0,0.001,0.0,0.0
