,name,id,sj_0,sj_1,z_w,y_max,Cr,Ct,L,s
0,w0,0,0,59,2.66,20.0,1.84,0.0,3.8179824400665647,0.0
1,w1,1,1,59,5.29,20.0,1.84,0.0,3.8179824400665647,0.0
2,w2,2,2,59,2.75,20.0,1.84,0.0,3.8179824400665647,0.0
3,w3,3,3,59,1.57,20.0,1.84,0.0,3.8179824400665647,0.0
4,w4,4,4,59,2.11,20.0,1.84,0.0,3.8179824400665647,0.0
5,w5,5,5,59,3.5,20.0,1.84,0.0,3.8179824400665647,0.0
6,w6,6,6,59,5.35,20.0,1.84,0.0,3.8179824400665647,0.0
7,w7,7,7,59,4.43,20.0,1.84,0.0,3.8179824400665647,0.0
8,w8,8,8,59,4.63,20.0,1.84,0.0,3.8179824400665647,0.0
9,w9,9,9,59,4.73,20.0,1.84,0.0,3.8179824400665647,0.0
10,w10,10,10,59,5.31,20.0,1.84,0.0,3.8179824400665647,0.0
11,w11,11,11,59,4.03,20.0,1.84,0.0,3.8179824400665647,0.0
12,w12,12,12,59,2.44,20.0,1.84,0.0,3.8179824400665647,0.0
13,w13,13,13,59,7.2,20.0,1.84,0.0,3.8179824400665647,0.0
14,w14,14,14,59,6.21,20.0,1.84,0.0,3.8179824400665647,0.0
15,w15,15,15,59,5.53,20.0,1.84,0.0,3.8179824400665647,0.0
16,w16,16,16,59,1.34,20.0,1.84,0.0,3.8179824400665647,0.0
17,w17,17,17,59,1.15,20.0,1.84,0.0,3.8179824400665647,0.0
18,w18,18,18,59,3.2,20.0,1.84,0.0,3.8179824400665647,0.0
19,w19,19,19,59,2.98,20.0,1.84,0.0,3.8179824400665647,0.0
20,w20,20,20,59,4.9,20.0,1.84,0.0,3.8179824400665647,0.0
21,w21,21,21,59,6.43,20.0,1.84,0.0,3.8179824400665647,0.0
22,w22,22,22,59,5.7,20.0,1.84,0.0,3.8179824400665647,0.0
23,w23,23,23,59,5.95,20.0,1.84,0.0,3.8179824400665647,0.0
24,w24,24,24,59,3.44,20.0,1.84,0.0,3.8179824400665647,0.0
25,w25,25,25,59,3.15,20.0,1.84,0.0,3.8179824400665647,0.0
26,w26,26,26,59,7.1,20.0,1.84,0.0,3.8179824400665647,0.0
27,w27,27,27,59,2.11,20.0,1.84,0.0,3.8179824400665647,0.0
28,w28,28,28,59,3.38,20.0,1.84,0.0,3.8179824400665647,0.0
29,w29,29,29,59,2.75,20.0,1.84,0.0,3.8179824400665647,0.0
30,w30,30,30,59,2.08,20.0,1.84,0.0,3.8179824400665647,0.0
31,w31,31,31,59,1.85,20.0,1.84,0.0,3.8179824400665647,0.0
32,w32,32,32,59,1.67,20.0,1.84,0.0,3.8179824400665647,0.0
33,w33,33,33,59,2.75,20.0,1.84,0.0,3.8179824400665647,0.0
34,w34,34,34,59,6.07,20.0,1.84,0.0,3.8179824400665647,0.0
35,w35,35,35,59,4.65,20.0,1.84,0.0,3.8179824400665647,0.0
36,w36,36,36,59,2.69,20.0,1.84,0.0,3.8179824400665647,0.0
37,w37,37,37,59,6.91,20.0,1.84,0.0,3.8179824400665647,0.0
38,w38,38,38,59,1.22,20.0,1.84,0.0,3.8179824400665647,0.0
39,w39,39,39,59,2.07,20.0,1.84,0.0,3.8179824400665647,0.0
40,w40,40,40,59,6.62,20.0,1.84,0.0,3.8179824400665647,0.0
41,w41,41,41,59,4.96,20.0,1.84,0.0,3.8179824400665647,0.0
42,w42,42,42,59,5.94,20.0,1.84,0.0,3.8179824400665647,0.0
43,w43,43,43,59,6.26,20.0,1.84,0.0,3.8179824400665647,0.0
44,w44,44,44,59,5.34,20.0,1.84,0.0,3.8179824400665647,0.0
45,w45,45,45,59,5.86,20.0,1.84,0.0,3.8179824400665647,0.0
46,w46,46,46,59,7.99,20.0,1.84,0.0,3.8179824400665647,0.0
47,w47,47,47,59,8.38,20.0,1.84,0.0,3.8179824400665647,0.0
48,w48,48,48,59,7.38,20.0,1.84,0.0,3.8179824400665647,0.0
49,w49,49,49,59,8.34,20.0,1.84,0.0,3.8179824400665647,0.0
50,w50,50,50,59,7.95,20.0,1.84,0.0,3.8179824400665647,0.0
51,w51,51,51,59,6.05,20.0,1.84,0.0,3.8179824400665647,0.0
52,w52,52,52,59,2.37,20.0,1.84,0.0,3.8179824400665647,0.0
53,w53,53,53,59,2.5,20.0,1.84,0.0,3.8179824400665647,0.0
54,w54,54,54,59,2.24,20.0,1.84,0.0,3.8179824400665647,0.0
55,w55,55,55,59,1.65,20.0,1.84,0.0,3.8179824400665647,0.0
56,w56,56,56,59,1.55,20.0,1.84,0.0,3.8179824400665647,0.0
57,w57,57,57,59,1.38,20.0,1.84,0.0,3.8179824400665647,0.0
58,w58,58,58,59,5.18,20.0,1.84,0.0,3.8179824400665647,0.0
