,name,id,z_inv,h_0,bc,storage,a,b,c,max_depth,map_x,map_y,base_demand,tank,tank_fake_node,demand_pattern,tank_min,tank_max
0,1,0,15.24,0.0,False,functional,0,0,1e-05,inf,21.0,4.0,-0.04380983238016,False,False,2,-inf,inf
1,2,1,30.48,0.0,False,functional,0,0,1e-05,inf,19.0,20.0,0.0005047215712,False,False,1,-inf,inf
2,3,2,18.288,0.0,False,functional,0,0,1e-05,inf,11.0,21.0,0.0008832627496,False,False,1,-inf,inf
3,4,3,18.288,0.0,False,functional,0,0,1e-05,inf,14.0,28.0,0.0005047215712,False,False,1,-inf,inf
4,5,4,30.48,0.0,False,functional,0,0,1e-05,inf,19.0,25.0,0.0005047215712,False,False,1,-inf,inf
5,6,5,38.1,0.0,False,functional,0,0,1e-05,inf,28.0,23.0,0.00031545098200000003,False,False,1,-inf,inf
6,7,6,48.768,0.0,False,functional,0,0,1e-05,inf,36.0,39.0,0.0002523607856,False,False,1,-inf,inf
7,8,7,33.528,0.0,False,functional,0,0,1e-05,inf,38.0,30.0,0.0005678117676,False,False,1,-inf,inf
8,9,8,54.864000000000004,0.0,False,functional,0,0,1e-05,inf,36.0,42.0,0.0008832627496,False,False,1,-inf,inf
9,10,9,39.624,0.0,False,functional,0,0,1e-05,inf,37.0,23.0,0.00031545098200000003,False,False,1,-inf,inf
10,11,10,56.388000000000005,0.0,False,functional,0,0,1e-05,inf,37.0,49.0,0.002194277030792,False,False,1,-inf,inf
11,12,11,64.00800000000001,0.0,False,functional,0,0,1e-05,inf,39.0,60.0,0.0010094431424,False,False,1,-inf,inf
12,13,12,64.00800000000001,0.0,False,functional,0,0,1e-05,inf,38.0,64.0,0.0001261803928,False,False,1,-inf,inf
13,14,13,60.96,0.0,False,functional,0,0,1e-05,inf,38.0,66.0,0.0001261803928,False,False,1,-inf,inf
14,15,14,57.912000000000006,0.0,False,functional,0,0,1e-05,inf,37.0,69.0,0.0001261803928,False,False,1,-inf,inf
15,16,15,45.72,0.0,False,functional,0,0,1e-05,inf,27.0,65.0,0.0012618039280000001,False,False,1,-inf,inf
16,17,16,54.864000000000004,0.0,False,functional,0,0,1e-05,inf,27.0,69.0,0.0012618039280000001,False,False,1,-inf,inf
17,18,17,30.48,0.0,False,functional,0,0,1e-05,inf,23.0,68.0,0.0012618039280000001,False,False,1,-inf,inf
18,19,18,45.72,0.0,False,functional,0,0,1e-05,inf,21.0,59.0,0.00031545098200000003,False,False,1,-inf,inf
19,20,19,51.816,0.0,False,functional,0,0,1e-05,inf,45.0,68.0,0.0011987137316,False,False,1,-inf,inf
20,21,20,45.72,0.0,False,functional,0,0,1e-05,inf,51.0,62.0,0.0010094431424,False,False,1,-inf,inf
21,22,21,60.96,0.0,False,functional,0,0,1e-05,inf,54.0,69.0,0.0006309019640000001,False,False,1,-inf,inf
22,23,22,70.104,0.0,False,functional,0,0,1e-05,inf,35.0,74.0,0.0005047215712,False,False,1,-inf,inf
23,24,23,57.912000000000006,0.0,False,functional,0,0,1e-05,inf,37.0,71.0,0.0006939921604000001,False,False,1,-inf,inf
24,25,24,70.104,0.0,False,functional,0,0,1e-05,inf,35.0,76.0,0.0003785411784,False,False,1,-inf,inf
25,27,25,39.624,0.0,False,functional,0,0,1e-05,inf,39.0,87.0,0.0005047215712,False,False,1,-inf,inf
26,28,26,33.528,0.0,False,functional,0,0,1e-05,inf,49.0,85.0,0.0,False,False,1,-inf,inf
27,29,27,33.528,0.0,False,functional,0,0,1e-05,inf,42.0,86.0,0.0004416313748,False,False,1,-inf,inf
28,30,28,39.624,0.0,False,functional,0,0,1e-05,inf,47.0,80.0,0.0001892705892,False,False,1,-inf,inf
29,31,29,57.912000000000006,0.0,False,functional,0,0,1e-05,inf,37.0,80.0,0.0010725333388,False,False,1,-inf,inf
30,32,30,33.528,0.0,False,functional,0,0,1e-05,inf,23.0,64.0,0.0010725333388,False,False,1,-inf,inf
31,33,31,54.864000000000004,0.0,False,functional,0,0,1e-05,inf,56.0,73.0,9.46352946e-05,False,False,1,-inf,inf
32,34,32,57.912000000000006,0.0,False,functional,0,0,1e-05,inf,56.0,77.0,9.46352946e-05,False,False,1,-inf,inf
33,35,33,33.528,0.0,False,functional,0,0,1e-05,inf,43.0,81.0,0.0,False,False,1,-inf,inf
34,36,34,33.528,0.0,False,functional,0,0,1e-05,inf,53.0,87.0,6.30901964e-05,False,False,1,-inf,inf
35,26,35,71.628,17.28216,False,functional,0,0,182.41469247509917,21.336000000000002,33.0,76.0,0.0,True,False,-,86.868,92.964
36,i26,36,71.628,0.0,False,functional,0,0,1e-05,92.964,33.0,76.0,0.0,False,True,-,86.868,92.964
